make,model,vid,pid,revision,mode,type,reportExtensionId,perClickLatency,polledActuation,pulseFrequencyHz,actuationDetectionDurationUs,maximumHostPollRateHz,avgLmbLatencyUs,stdDevUs,adjustedAvgLmbLatencyUs,Tested By
NVIDIA LUT Version,v0.99.4 3-29-21,10de,0000,0000,wired,none,TRUE,TRUE,TRUE,0,0,0,0,0,0,NVIDIA
Acer,Predator Cestus 330,3938,1184,0101,wired,none,FALSE,TRUE,FALSE,0,0,1000,16916,279,16916,NVIDIA
Acer,Predator Cestus 350,3938,1218,0107,wireless,none,FALSE,FALSE,FALSE,0,0,1000,17589,301,17589,NVIDIA
Acer,Predator Cestus 350 (wired),3938,1172,0121,wired,none,FALSE,TRUE,FALSE,0,0,1000,16580,285,16580,NVIDIA
Acer,AOPEN Fire Legend GM310,3938,1176,0104,wired,none,FALSE,TRUE,FALSE,0,0,1000,16560,283,16560,NVIDIA
Alienware,AW610M (wireless),0461,4ec0,0303,wireless,none,FALSE,TRUE,FALSE,0,0,1000,4543,424,4543,NVIDIA
Alienware,AW610M (wired),0461,4e9d,0308,wired,none,FALSE,TRUE,FALSE,0,0,1000,4125,402,4125,NVIDIA
Asus,ROG Chakram (wired),0b05,18e3,0928,wired,none,FALSE,FALSE,FALSE,0,0,1000,2115,355,2115,NVIDIA
Asus,ROG Chakram (wireless),0b05,18e5,0930,wireless,none,TRUE,FALSE,FALSE,0,0,1000,2993,390,2993,NVIDIA
Asus,ROG Chakram Core,0b05,1958,0108,wired,none,FALSE,TRUE,FALSE,0,0,1000,616,281,616,NVIDIA
Corsair,Dark Core RGB Pro (wired),1b1c,1b80,0207,wired,none,FALSE,TRUE,FALSE,0,0,1000,648,287,648,NVIDIA
Corsair,Dark Core RGB Pro (wireless),1b1c,1b81,0204,wireless,none,FALSE,TRUE,FALSE,0,0,1000,1202,326,1202,NVIDIA
Corsair,Dark Core RGB PRO SE (wired),1b1c,1b7e,0207,wired,none,FALSE,TRUE,FALSE,0,0,1000,648,287,648,NVIDIA
Corsair,Dark Core RGB PRO SE (wireless),1b1c,1b7f,0204,wireless,none,FALSE,TRUE,FALSE,0,0,1000,1220,326,1220,NVIDIA
Finalmouse,Ultralight Phantom,04d9,ad50,0100,wired,none,FALSE,FALSE,FALSE,0,0,1000,6132,622,6132,NVIDIA
Finalmouse,Air58 Ninja CBB,04d9,ad50,0100,wired,none,FALSE,FALSE,FALSE,0,0,1000,6164,593,6164,NVIDIA
Finalmouse,Ultralight 2 Cape Town,04d9,ad50,0100,wired,none,FALSE,FALSE,FALSE,0,0,1000,6330,586,6330,NVIDIA
Finalmouse,Ninja Air58 CBR,04d9,ad50,0100,wired,none,FALSE,FALSE,FALSE,0,0,1000,6595,588,6595,NVIDIA
Glorious,Model O,258a,0036,0100,wired,none,FALSE,FALSE,FALSE,0,0,1000,13461,1511,13461,NVIDIA
HyperX,Pulsefire FPS,0951,16bc,0007,wired,none,FALSE,FALSE,FALSE,0,0,1000,8380,504,8380,NVIDIA
Logitech G,G502,046d,c08b,2702,wired,none,FALSE,FALSE,FALSE,0,0,1000,2497,294,2497,NVIDIA
Logitech G,PRO Wireless Ghost White (wired),046d,c088,1502,wired,none,FALSE,FALSE,FALSE,0,0,1000,2562,277,2562,NVIDIA
Logitech G,PRO Wireless Ghost White (wired),046d,c088,1510,wired,none,FALSE,TRUE,FALSE,0,0,1000,2523,286,2523,NVIDIA
Logitech G,PRO Wireless Easter Pink (wired),046d,c088,1502,wired,none,FALSE,FALSE,FALSE,0,0,1000,2528,301,2528,NVIDIA
Logitech G,PRO Wireless Easter Pink (wired),046d,c088,1510,wired,none,FALSE,TRUE,FALSE,0,0,1000,2529,298,2529,NVIDIA
Logitech G,PRO Wireless Black (wired),046d,c088,1502,wired,none,FALSE,FALSE,FALSE,0,0,1000,2553,282,2553,NVIDIA
Logitech G,PRO Wireless Black (wired),046d,c088,1510,wired,none,FALSE,TRUE,FALSE,0,0,1000,2537,291,2537,NVIDIA
Logitech G,PRO,046d,c085,1002,wired,none,FALSE,FALSE,FALSE,0,0,1000,3025,423,3025,NVIDIA
Logitech G,PRO,046d,c08c,2801,wired,none,FALSE,FALSE,FALSE,0,0,1000,2554,288,2554,NVIDIA
Logitech G,MX518,046d,c08e,4000,wired,none,FALSE,FALSE,FALSE,0,0,1000,2809,421,2809,NVIDIA
Logitech G,G403,046d,c083,0801,wired,none,FALSE,FALSE,FALSE,0,0,1000,2919,444,2919,NVIDIA
Logitech G,G203,046d,c084,0703,wired,none,FALSE,FALSE,FALSE,0,0,1000,3179,485,3179,NVIDIA
Logitech G,703 Lightspeed (wired),046d,c090,2202,wired,none,FALSE,FALSE,FALSE,0,0,1000,2537,296,2537,NVIDIA
Logitech G,403 Hero,046d,c08f,4501,wired,none,FALSE,FALSE,FALSE,0,0,1000,2562,291,2562,NVIDIA
Logitech G,903 Lightspeed (wired),046d,c091,2301,wired,none,FALSE,FALSE,FALSE,0,0,1000,2516,289,2516,NVIDIA
Logitech G,502 Lightspeed (wired),046d,c08d,1700,wired,none,FALSE,FALSE,FALSE,0,0,1000,2527,283,2527,NVIDIA
Logitech G,PRO X SUPERLIGHT (wireless),046d,4093,0000,wireless,wireless,TRUE,FALSE,FALSE,0,0,1000,1843,284,1843,NVIDIA
Logitech G,PRO X SUPERLIGHT (wired),046d,c094,2500,wired,none,FALSE,TRUE,FALSE,0,0,1000,808,302,808,NVIDIA
MSI,GM11,0db0,0d11,0309,wired,none,FALSE,FALSE,FALSE,0,0,1000,1710,1123,1710,NVIDIA
MSI,GM41,0db0,0d41,0210,wired,none,FALSE,TRUE,FALSE,0,0,1000,4348,328,4348,NVIDIA
MSI,Clutch GM08,0db0,0d08,0100,wired,none,FALSE,FALSE,FALSE,0,0,1000,18801,406,18801,NVIDIA
MSI,Clutch GM50,0db0,0d50,0132,wired,none,FALSE,FALSE,FALSE,0,0,1000,13592,504,13592,NVIDIA
MSI,Clutch GM30,0db0,0d30,0210,wired,none,FALSE,FALSE,FALSE,0,0,1000,8416,730,8416,NVIDIA
MSI,Clutch GM20 Elite,0db0,0d2e,0108,wired,none,FALSE,FALSE,FALSE,0,0,1000,10781,544,10781,NVIDIA
Razer,Deathadder V2 Pro (wired),1532,007c,0100,wired,none,FALSE,FALSE,FALSE,0,0,1000,1400,291,1400,NVIDIA
Razer,Deathadder V2 Pro (wireless),1532,007d,0100,wireless,none,FALSE,FALSE,FALSE,0,0,1000,1587,449,1587,NVIDIA
Razer,Deathadder Elite,1532,005c,0200,wired,none,FALSE,FALSE,FALSE,0,0,1000,10150,428,10150,NVIDIA
Razer,Deathadder V2,1532,0084,0200,wired,none,FALSE,FALSE,TRUE,2000,150,1000,1309,205,1484,NVIDIA
Razer,Viper Ultimate (wired),1532,007a,0100,wired,none,FALSE,FALSE,TRUE,1000,180,1000,1309,423,1719,NVIDIA
Razer,Viper Ultimate (wireless),1532,007b,0200,wireless,none,FALSE,FALSE,TRUE,1000,180,1000,2107,489,2517,NVIDIA
SteelSeries,Rival 3,1038,eeee,00ee,wired,none,FALSE,TRUE,FALSE,0,0,1000,3108,522,3108,NVIDIA
SteelSeries,Rival 3,1038,184c,0025,wired,none,FALSE,TRUE,FALSE,0,0,1000,5123,544,5123,NVIDIA
Steelseries,Rival 600,1038,1724,0233,wired,none,FALSE,FALSE,FALSE,0,0,1000,8542,562,8542,NVIDIA
SteelSeries,Rival 300,1038,1710,0024,wired,none,FALSE,FALSE,FALSE,0,0,1000,8790,528,8790,NVIDIA
Zowie,EC1-A White,1af3,0001,0001,wired,none,FALSE,FALSE,FALSE,0,0,1000,10067,510,10067,NVIDIA
Zowie,EC1-A,1af3,0001,0001,wired,none,FALSE,FALSE,FALSE,0,0,1000,10076,487,10076,NVIDIA
Zowie,EC2-A,1af3,0001,0001,wired,none,FALSE,FALSE,FALSE,0,0,1000,10205,512,10205,NVIDIA
Zowie,FK1,1af3,0001,0001,wired,none,FALSE,FALSE,FALSE,0,0,1000,10209,494,10209,NVIDIA
Zowie,FK2 White,1af3,0001,0001,wired,none,FALSE,FALSE,FALSE,0,0,1000,10306,568,10306,NVIDIA
Zowie,FK2,1af3,0001,0001,wired,none,FALSE,FALSE,FALSE,0,0,1000,10362,518,10362,NVIDIA
Zowie,ZA12,1af3,0001,0001,wired,none,FALSE,FALSE,FALSE,0,0,1000,10364,498,10364,NVIDIA
Zowie,EC2-B Divina Edition,04a5,8001,0020,wired,none,FALSE,FALSE,FALSE,0,0,1000,7237,2802,7237,NVIDIA
Zowie,EC2-B,04a5,8001,0020,wired,none,FALSE,FALSE,FALSE,0,0,1000,7241,2787,7241,NVIDIA
Zowie,S2 Divina,04a5,8001,0020,wired,none,FALSE,FALSE,FALSE,0,0,1000,7297,2738,7297,NVIDIA
Zowie,EC2 Tyloo Edition,04a5,8001,0020,wired,none,FALSE,FALSE,FALSE,0,0,1000,7316,2731,7316,NVIDIA
Zowie,EC1-B,1af3,0001,0001,wired,none,FALSE,FALSE,FALSE,0,0,1000,7401,2765,7401,NVIDIA
Zowie,ZA13,3057,0001,0002,wired,none,FALSE,FALSE,FALSE,0,0,1000,7623,3103,7623,NVIDIA
Zowie,S1 Divina,04a5,8001,0020,wired,none,FALSE,FALSE,FALSE,0,0,1000,7658,2794,7658,NVIDIA